Local time,Open,High,Low,Close,Volume
03.08.2003 01:30:00.000 GMT+0430,0.65130,0.65130,0.65130,0.65130,0
04.08.2003 01:30:00.000 GMT+0430,0.65130,0.65212,0.64316,0.64662,227898.58889999994
05.08.2003 01:30:00.000 GMT+0430,0.64640,0.64781,0.64035,0.64607,122336.9789
06.08.2003 01:30:00.000 GMT+0430,0.64659,0.65053,0.64496,0.64725,117152.85010000001
07.08.2003 01:30:00.000 GMT+0430,0.64729,0.65148,0.64391,0.65102,126714.2734
08.08.2003 01:30:00.000 GMT+0430,0.65111,0.65347,0.64967,0.65209,122279.97919999999
09.08.2003 01:30:00.000 GMT+0430,0.65209,0.65209,0.65209,0.65209,0
10.08.2003 01:30:00.000 GMT+0430,0.65209,0.65209,0.65209,0.65209,0
11.08.2003 01:30:00.000 GMT+0430,0.65226,0.65952,0.64986,0.65782,131071.1992
12.08.2003 01:30:00.000 GMT+0430,0.65785,0.66100,0.65521,0.65565,126003.65039999998
13.08.2003 01:30:00.000 GMT+0430,0.65589,0.65863,0.65201,0.65774,119816.9904
14.08.2003 01:30:00.000 GMT+0430,0.65815,0.65895,0.65453,0.65582,125878.36089999999
15.08.2003 01:30:00.000 GMT+0430,0.65600,0.66035,0.65529,0.65951,118210.9089
16.08.2003 01:30:00.000 GMT+0430,0.65951,0.65951,0.65951,0.65951,0
17.08.2003 01:30:00.000 GMT+0430,0.65951,0.65951,0.65951,0.65951,0
18.08.2003 01:30:00.000 GMT+0430,0.66009,0.66175,0.65473,0.65745,134005.74980000002
19.08.2003 01:30:00.000 GMT+0430,0.65755,0.65810,0.65197,0.65544,124529.2796
20.08.2003 01:30:00.000 GMT+0430,0.65592,0.66190,0.65362,0.66006,122234.92
21.08.2003 01:30:00.000 GMT+0430,0.66002,0.66065,0.65060,0.65340,132049.8859
22.08.2003 01:30:00.000 GMT+0430,0.65352,0.65460,0.64679,0.65190,128361.74039999998
23.08.2003 01:30:00.000 GMT+0430,0.65190,0.65190,0.65190,0.65190,0
24.08.2003 01:30:00.000 GMT+0430,0.65190,0.65190,0.65190,0.65190,0
25.08.2003 01:30:00.000 GMT+0430,0.65090,0.65320,0.64915,0.64930,129449.3299
26.08.2003 01:30:00.000 GMT+0430,0.64965,0.65018,0.64157,0.64363,127098.9916
27.08.2003 01:30:00.000 GMT+0430,0.64380,0.64460,0.63632,0.63880,123946.52979999999
28.08.2003 01:30:00.000 GMT+0430,0.63905,0.64187,0.63497,0.64011,132844.92979999998
29.08.2003 01:30:00.000 GMT+0430,0.63990,0.64928,0.63876,0.64665,125359.9613
30.08.2003 01:30:00.000 GMT+0430,0.64665,0.64665,0.64665,0.64665,0
31.08.2003 01:30:00.000 GMT+0430,0.64665,0.64665,0.64665,0.64665,0
