Gmt time,Open,High,Low,Close,Volume
04.08.2003 00:00:00.000,119.959,120.586,119.634,120.234,588074.875
05.08.2003 00:00:00.000,120.203,120.617,119.703,119.909,581303.1875
06.08.2003 00:00:00.000,119.936,120.420,119.680,120.113,586818.625
07.08.2003 00:00:00.000,120.103,120.176,118.795,119.179,584676.3125
08.08.2003 00:00:00.000,119.196,119.246,118.786,118.974,332724
09.08.2003 00:00:00.000,118.974,118.974,118.974,118.974,0
10.08.2003 00:00:00.000,118.974,118.974,118.974,118.974,0
11.08.2003 00:00:00.000,119.050,119.093,118.151,118.386,619467.625
12.08.2003 00:00:00.000,118.393,118.745,118.336,118.540,628384.875
13.08.2003 00:00:00.000,118.543,119.446,118.520,119.202,637396.625
14.08.2003 00:00:00.000,119.241,119.659,118.820,118.847,617754.8125
15.08.2003 00:00:00.000,118.843,119.449,118.736,119.135,557784.3125
16.08.2003 00:00:00.000,119.135,119.135,119.135,119.135,0
17.08.2003 00:00:00.000,119.135,119.512,119.039,119.092,53938.1992
18.08.2003 00:00:00.000,119.085,119.748,119.064,119.364,619897
19.08.2003 00:00:00.000,119.325,119.764,118.203,118.647,624700.125
20.08.2003 00:00:00.000,118.613,118.758,117.761,118.070,629022.1875
21.08.2003 00:00:00.000,118.097,118.206,117.498,117.784,616753.625
22.08.2003 00:00:00.000,117.802,118.034,117.281,117.490,586093
23.08.2003 00:00:00.000,117.490,117.490,117.490,117.490,0
24.08.2003 00:00:00.000,117.587,117.675,117.391,117.449,35983.1016
25.08.2003 00:00:00.000,117.480,117.652,117.114,117.376,624421.8125
26.08.2003 00:00:00.000,117.377,117.758,117.199,117.378,625742.875
27.08.2003 00:00:00.000,117.372,117.984,117.288,117.436,626154.6875
28.08.2003 00:00:00.000,117.472,117.610,117.187,117.330,626405.375
29.08.2003 00:00:00.000,117.300,117.300,116.130,116.865,591640.1875
30.08.2003 00:00:00.000,116.865,116.865,116.865,116.865,0
31.08.2003 00:00:00.000,116.692,116.803,116.500,116.565,33007.3984
01.09.2003 00:00:00.000,116.569,116.765,116.310,116.494,526448.8125
02.09.2003 00:00:00.000,116.515,117.231,115.806,116.507,621348.625
03.09.2003 00:00:00.000,116.503,116.568,115.814,115.959,629133.1875
04.09.2003 00:00:00.000,115.968,117.064,115.723,116.781,621406.875
05.09.2003 00:00:00.000,116.797,117.149,116.419,116.635,582521
06.09.2003 00:00:00.000,116.635,116.635,116.635,116.635,0
07.09.2003 00:00:00.000,116.777,117.698,116.777,117.633,43249.3984
08.09.2003 00:00:00.000,117.614,117.667,116.352,116.590,628434.6875
09.09.2003 00:00:00.000,116.607,116.944,116.044,116.788,617396.125
10.09.2003 00:00:00.000,116.802,117.236,116.595,117.063,617204.6875
11.09.2003 00:00:00.000,117.070,117.250,116.535,117.137,617302.875
12.09.2003 00:00:00.000,117.115,117.484,116.707,117.255,580121.625
13.09.2003 00:00:00.000,117.255,117.255,117.255,117.255,0
14.09.2003 00:00:00.000,117.251,117.358,117.213,117.248,29014.9004
15.09.2003 00:00:00.000,117.243,117.670,117.175,117.386,614081.875
16.09.2003 00:00:00.000,117.392,117.400,115.992,116.165,619901
17.09.2003 00:00:00.000,116.163,116.481,115.833,116.150,625203.6875
18.09.2003 00:00:00.000,116.098,116.141,114.731,115.238,618560
19.09.2003 00:00:00.000,115.248,115.491,113.585,113.905,590041.125
20.09.2003 00:00:00.000,113.905,113.905,113.905,113.905,0
21.09.2003 00:00:00.000,113.569,113.569,111.363,112.069,42772.1992
22.09.2003 00:00:00.000,112.114,112.698,111.532,112.000,628215
23.09.2003 00:00:00.000,112.008,112.366,110.894,112.248,628244
24.09.2003 00:00:00.000,112.235,112.312,111.228,111.884,623605.8125
25.09.2003 00:00:00.000,111.887,112.314,111.442,112.078,628356
26.09.2003 00:00:00.000,112.060,112.283,111.566,111.675,585314.875
27.09.2003 00:00:00.000,111.675,111.675,111.675,111.675,0
28.09.2003 00:00:00.000,111.735,111.789,111.477,111.606,38785
29.09.2003 00:00:00.000,111.592,112.047,110.629,111.769,630214.375
30.09.2003 00:00:00.000,111.745,111.752,110.076,111.297,632918.5
01.10.2003 00:00:00.000,111.288,111.447,110.510,110.977,627020.875
02.10.2003 00:00:00.000,110.975,111.168,110.531,110.897,622262.1875
03.10.2003 00:00:00.000,110.898,111.026,110.211,110.790,582991.125
04.10.2003 00:00:00.000,110.790,110.790,110.790,110.790,0
05.10.2003 00:00:00.000,111.009,111.198,110.828,111.009,32495.3008
06.10.2003 00:00:00.000,111.007,111.307,110.761,111.063,617783.875
07.10.2003 00:00:00.000,111.070,111.111,109.340,109.521,617650.375
08.10.2003 00:00:00.000,109.512,109.864,109.350,109.530,617334.3125
09.10.2003 00:00:00.000,109.530,109.577,108.882,109.123,619993.6875
10.10.2003 00:00:00.000,109.103,109.303,108.264,108.680,579321.875
11.10.2003 00:00:00.000,108.680,108.680,108.680,108.680,0
12.10.2003 00:00:00.000,108.445,108.520,108.397,108.424,26884.3008
13.10.2003 00:00:00.000,108.436,109.076,108.250,108.999,587188.375
14.10.2003 00:00:00.000,109.013,110.174,108.634,108.837,620677.625
15.10.2003 00:00:00.000,108.848,109.783,108.780,109.570,623459.5
16.10.2003 00:00:00.000,109.573,110.267,109.190,109.608,617489.1875
17.10.2003 00:00:00.000,109.598,110.000,109.260,109.288,579693.375
18.10.2003 00:00:00.000,109.288,109.288,109.288,109.288,0
19.10.2003 00:00:00.000,109.005,109.028,108.759,108.931,38193.6016
20.10.2003 00:00:00.000,108.937,110.564,108.921,110.269,625370.125
21.10.2003 00:00:00.000,110.274,110.310,109.385,109.551,622646.125
22.10.2003 00:00:00.000,109.542,109.686,108.808,108.954,623496.5
23.10.2003 00:00:00.000,108.940,109.810,108.847,109.472,628343.1875
24.10.2003 00:00:00.000,109.435,109.947,109.005,109.225,585196.6875
25.10.2003 00:00:00.000,109.225,109.225,109.225,109.225,0
26.10.2003 00:00:00.000,109.230,109.375,108.867,108.897,31445.0996
27.10.2003 00:00:00.000,108.907,109.041,108.263,108.445,617557.5
28.10.2003 00:00:00.000,108.462,108.614,108.062,108.136,629625.375
29.10.2003 00:00:00.000,108.165,108.359,107.794,108.186,622392.625
30.10.2003 00:00:00.000,108.187,108.848,107.928,108.626,626252.5
31.10.2003 00:00:00.000,108.615,110.198,108.600,109.919,594780.6875
01.11.2003 00:00:00.000,109.919,109.919,109.919,109.919,0
02.11.2003 00:00:00.000,109.818,109.888,109.682,109.743,29781
03.11.2003 00:00:00.000,109.730,111.477,109.722,110.759,622357.1875
04.11.2003 00:00:00.000,110.771,110.797,109.381,109.554,623663.875
05.11.2003 00:00:00.000,109.543,110.041,109.444,109.857,632199.875
06.11.2003 00:00:00.000,109.852,110.313,109.772,110.129,625764.875
07.11.2003 00:00:00.000,110.130,110.375,109.018,109.340,600256.6875
08.11.2003 00:00:00.000,109.340,109.340,109.340,109.340,0
09.11.2003 00:00:00.000,109.224,109.553,109.224,109.503,29562.0996
10.11.2003 00:00:00.000,109.512,109.627,107.836,108.718,627018
11.11.2003 00:00:00.000,108.728,109.116,108.378,108.755,620992.6875
12.11.2003 00:00:00.000,108.757,109.131,108.414,108.675,624760.3125
13.11.2003 00:00:00.000,108.670,108.695,107.982,108.003,630517.5
14.11.2003 00:00:00.000,108.037,108.485,107.916,108.328,596955.6875
15.11.2003 00:00:00.000,108.328,108.328,108.328,108.328,0
16.11.2003 00:00:00.000,108.262,108.525,108.203,108.242,32376.1992
17.11.2003 00:00:00.000,108.237,109.720,108.215,109.009,630493
18.11.2003 00:00:00.000,108.997,109.085,107.901,108.071,628732.6875
19.11.2003 00:00:00.000,108.083,109.371,107.522,109.057,628572.3125
20.11.2003 00:00:00.000,109.047,109.173,108.614,109.035,630290.5
21.11.2003 00:00:00.000,109.042,109.363,108.602,108.724,599526.5
22.11.2003 00:00:00.000,108.724,108.724,108.724,108.724,0
23.11.2003 00:00:00.000,108.725,108.905,108.685,108.772,24250.5996
24.11.2003 00:00:00.000,108.841,109.488,108.700,109.345,613207.8125
25.11.2003 00:00:00.000,109.345,110.002,109.247,109.361,631184.6875
26.11.2003 00:00:00.000,109.375,109.748,108.848,109.058,625417.1875
27.11.2003 00:00:00.000,109.040,109.304,108.852,109.223,593394.875
28.11.2003 00:00:00.000,109.235,109.637,109.129,109.583,583464.375
29.11.2003 00:00:00.000,109.583,109.583,109.583,109.583,0
30.11.2003 00:00:00.000,109.645,109.872,109.587,109.795,32051.0996
01.12.2003 00:00:00.000,109.800,109.998,109.055,109.183,628667.5
02.12.2003 00:00:00.000,109.217,109.793,108.518,108.707,628053.3125
03.12.2003 00:00:00.000,108.703,108.792,108.065,108.291,629155.8125
04.12.2003 00:00:00.000,108.280,108.466,107.919,108.247,625311.3125
05.12.2003 00:00:00.000,108.223,108.394,107.492,107.685,594758.125
06.12.2003 00:00:00.000,107.685,107.685,107.685,107.685,0
07.12.2003 00:00:00.000,107.695,107.792,107.486,107.530,28579.5996
08.12.2003 00:00:00.000,107.522,107.751,107.068,107.388,630985
09.12.2003 00:00:00.000,107.390,107.533,106.723,107.085,621943.625
10.12.2003 00:00:00.000,107.095,108.696,107.035,108.360,622200.3125
11.12.2003 00:00:00.000,108.371,108.415,107.903,107.998,625583.1875
12.12.2003 00:00:00.000,107.993,108.035,107.604,107.830,593946.6875
13.12.2003 00:00:00.000,107.830,107.830,107.830,107.830,0
14.12.2003 00:00:00.000,108.095,108.412,107.989,108.080,39687.6992
15.12.2003 00:00:00.000,108.078,108.168,107.344,107.718,624193.5
16.12.2003 00:00:00.000,107.717,107.818,107.348,107.509,625735.875
17.12.2003 00:00:00.000,107.520,107.815,107.171,107.369,617008
18.12.2003 00:00:00.000,107.357,108.072,107.296,107.643,621265.125
19.12.2003 00:00:00.000,107.675,107.979,107.499,107.778,587072
20.12.2003 00:00:00.000,107.778,107.778,107.778,107.778,0
21.12.2003 00:00:00.000,107.672,107.893,107.584,107.847,37931
22.12.2003 00:00:00.000,107.857,107.925,107.248,107.468,620606.8125
23.12.2003 00:00:00.000,107.495,107.521,107.213,107.408,614202.125
24.12.2003 00:00:00.000,107.393,107.532,107.091,107.269,599053.8125
25.12.2003 00:00:00.000,107.255,107.349,107.052,107.221,524493
26.12.2003 00:00:00.000,107.203,107.498,106.867,107.412,548270.375
27.12.2003 00:00:00.000,107.412,107.412,107.412,107.412,0
28.12.2003 00:00:00.000,107.312,107.375,107.152,107.312,30397.8008
29.12.2003 00:00:00.000,107.315,107.358,106.826,107.023,607301.875
30.12.2003 00:00:00.000,107.047,107.137,106.846,106.966,615339.6875
31.12.2003 00:00:00.000,106.955,107.710,106.739,107.190,557285.375
01.01.2004 00:00:00.000,107.400,107.480,106.970,107.310,1723
02.01.2004 00:00:00.000,107.280,107.500,106.630,107.030,17884
03.01.2004 00:00:00.000,107.030,107.030,107.030,107.030,0
04.01.2004 00:00:00.000,107.030,107.060,106.880,106.940,645
05.01.2004 00:00:00.000,106.920,107.350,106.000,106.240,25255
06.01.2004 00:00:00.000,106.250,106.420,105.930,106.200,23395
07.01.2004 00:00:00.000,106.220,106.420,105.890,106.190,24108
08.01.2004 00:00:00.000,106.170,106.260,106.030,106.190,18435
09.01.2004 00:00:00.000,106.170,108.250,106.040,106.760,29418
10.01.2004 00:00:00.000,106.760,106.760,106.760,106.760,0
11.01.2004 00:00:00.000,106.710,106.730,106.520,106.600,1021
12.01.2004 00:00:00.000,106.610,106.750,106.290,106.600,28424
13.01.2004 00:00:00.000,106.610,106.610,106.080,106.210,29818
14.01.2004 00:00:00.000,106.220,106.330,105.920,106.230,33808
15.01.2004 00:00:00.000,106.240,106.500,105.940,106.260,35257
16.01.2004 00:00:00.000,106.270,107.000,105.700,106.600,33407
17.01.2004 00:00:00.000,106.600,106.600,106.600,106.600,0
18.01.2004 00:00:00.000,106.800,106.800,106.520,106.670,2007
19.01.2004 00:00:00.000,106.650,107.480,106.310,107.200,32347
20.01.2004 00:00:00.000,107.210,107.910,106.800,107.010,42497
21.01.2004 00:00:00.000,107.010,107.300,106.570,106.820,37803
22.01.2004 00:00:00.000,106.820,107.020,105.910,106.120,37869
23.01.2004 00:00:00.000,106.160,106.820,105.710,106.710,39614
24.01.2004 00:00:00.000,106.710,106.710,106.710,106.710,0
25.01.2004 00:00:00.000,106.750,106.750,106.390,106.720,1738
26.01.2004 00:00:00.000,106.720,106.720,105.760,106.360,40400
27.01.2004 00:00:00.000,106.370,106.390,105.430,105.630,38577
28.01.2004 00:00:00.000,105.620,106.610,105.420,106.130,39647
29.01.2004 00:00:00.000,106.130,106.240,105.600,105.910,37685
30.01.2004 00:00:00.000,105.930,106.130,105.560,105.660,44293
31.01.2004 00:00:00.000,105.660,105.660,105.660,105.660,0
01.02.2004 00:00:00.000,105.630,105.810,105.550,105.620,1800
02.02.2004 00:00:00.000,105.620,105.770,105.340,105.510,32687
03.02.2004 00:00:00.000,105.530,105.860,105.180,105.450,40452
04.02.2004 00:00:00.000,105.470,105.650,105.240,105.450,37215
05.02.2004 00:00:00.000,105.460,106.050,105.330,105.570,39200
06.02.2004 00:00:00.000,105.580,106.800,105.350,105.450,45754
07.02.2004 00:00:00.000,105.450,105.450,105.450,105.450,0
08.02.2004 00:00:00.000,105.700,106.090,105.490,105.660,2174
09.02.2004 00:00:00.000,105.670,105.890,105.460,105.830,37592
10.02.2004 00:00:00.000,105.830,105.900,105.280,105.580,38735
11.02.2004 00:00:00.000,105.570,105.710,105.140,105.320,40207
12.02.2004 00:00:00.000,105.320,105.590,105.220,105.300,31972
13.02.2004 00:00:00.000,105.310,105.600,105.220,105.420,28140
14.02.2004 00:00:00.000,105.420,105.420,105.420,105.420,0
15.02.2004 00:00:00.000,105.520,105.520,105.400,105.480,1311
16.02.2004 00:00:00.000,105.480,105.590,105.310,105.450,19861
17.02.2004 00:00:00.000,105.460,106.000,105.390,105.590,30994
18.02.2004 00:00:00.000,105.570,107.120,105.470,106.280,42069
19.02.2004 00:00:00.000,106.300,107.430,106.290,106.900,58249
20.02.2004 00:00:00.000,106.920,109.340,106.880,109.010,63935
21.02.2004 00:00:00.000,109.010,109.010,109.010,109.010,0
22.02.2004 00:00:00.000,108.980,109.010,108.570,108.730,2626
23.02.2004 00:00:00.000,108.680,109.380,108.030,108.260,53157
24.02.2004 00:00:00.000,108.290,108.740,108.000,108.210,46380
25.02.2004 00:00:00.000,108.200,109.120,108.000,108.970,49630
26.02.2004 00:00:00.000,108.970,109.830,108.710,109.500,54717
27.02.2004 00:00:00.000,109.510,109.690,108.810,109.130,52188
28.02.2004 00:00:00.000,109.130,109.130,109.130,109.130,0
29.02.2004 00:00:00.000,109.010,109.150,108.950,109.050,2014
01.03.2004 00:00:00.000,109.060,109.410,108.830,108.930,40250
02.03.2004 00:00:00.000,108.930,110.410,108.880,110.120,45439
03.03.2004 00:00:00.000,110.150,110.520,109.970,110.090,56830
04.03.2004 00:00:00.000,110.120,111.270,109.990,111.210,48986
05.03.2004 00:00:00.000,111.190,112.290,110.930,111.990,49898
06.03.2004 00:00:00.000,111.990,111.990,111.990,111.990,0
07.03.2004 00:00:00.000,111.990,112.240,111.990,112.060,2376
08.03.2004 00:00:00.000,112.100,112.330,111.080,111.300,44659
09.03.2004 00:00:00.000,111.310,111.610,110.190,111.420,48378
10.03.2004 00:00:00.000,111.420,111.480,110.670,110.910,49170
11.03.2004 00:00:00.000,110.910,111.080,110.400,110.850,49896
12.03.2004 00:00:00.000,110.830,111.390,110.570,110.760,47285
13.03.2004 00:00:00.000,110.760,110.760,110.760,110.760,0
14.03.2004 00:00:00.000,110.730,110.950,110.630,110.820,1744
15.03.2004 00:00:00.000,110.790,111.060,109.150,110.320,55356
16.03.2004 00:00:00.000,110.320,110.360,108.590,108.690,64911
17.03.2004 00:00:00.000,108.680,108.960,107.930,108.290,66704
18.03.2004 00:00:00.000,108.270,108.370,106.370,106.780,72535
19.03.2004 00:00:00.000,106.780,107.310,106.590,106.670,60434
20.03.2004 00:00:00.000,106.670,106.670,106.670,106.670,0
21.03.2004 00:00:00.000,106.800,106.950,106.630,106.900,1675
22.03.2004 00:00:00.000,106.910,107.650,106.690,106.720,46237
23.03.2004 00:00:00.000,106.730,106.940,106.430,106.730,46824
24.03.2004 00:00:00.000,106.730,106.950,106.000,106.410,53959
25.03.2004 00:00:00.000,106.430,106.440,105.730,106.130,55450
26.03.2004 00:00:00.000,106.120,106.180,105.480,106.000,50498
27.03.2004 00:00:00.000,106.000,106.000,106.000,106.000,0
28.03.2004 00:00:00.000,105.810,105.860,105.230,105.660,4959
29.03.2004 00:00:00.000,105.670,105.940,105.230,105.420,46866
30.03.2004 00:00:00.000,105.440,106.230,105.390,105.880,45611
31.03.2004 00:00:00.000,105.890,105.900,103.380,104.000,69219
01.04.2004 00:00:00.000,103.990,104.490,103.440,103.760,55013
02.04.2004 00:00:00.000,103.770,104.740,103.730,104.460,49478
03.04.2004 00:00:00.000,104.460,104.460,104.460,104.460,0
04.04.2004 00:00:00.000,104.460,104.560,104.100,104.310,3927
05.04.2004 00:00:00.000,104.300,105.440,104.210,105.100,54602
06.04.2004 00:00:00.000,105.120,107.210,105.060,105.900,64697
07.04.2004 00:00:00.000,105.890,106.150,104.930,105.410,56947
08.04.2004 00:00:00.000,105.440,106.730,105.350,106.680,52475
09.04.2004 00:00:00.000,106.680,106.770,105.920,106.360,18530
10.04.2004 00:00:00.000,106.360,106.360,106.360,106.360,0
11.04.2004 00:00:00.000,106.340,106.420,106.150,106.360,1243
12.04.2004 00:00:00.000,106.320,106.460,105.230,105.350,37645
13.04.2004 00:00:00.000,105.400,107.020,105.020,106.840,60945
14.04.2004 00:00:00.000,106.840,108.990,106.690,108.390,69542
15.04.2004 00:00:00.000,108.400,109.270,108.040,108.340,91149
16.04.2004 00:00:00.000,108.370,108.900,107.470,107.860,89685
17.04.2004 00:00:00.000,107.860,107.860,107.860,107.860,0
18.04.2004 00:00:00.000,107.690,107.820,107.570,107.730,1842
19.04.2004 00:00:00.000,107.740,108.700,107.620,108.520,60698
20.04.2004 00:00:00.000,108.520,109.140,107.640,109.130,80054
21.04.2004 00:00:00.000,109.120,109.770,108.520,109.380,79954
22.04.2004 00:00:00.000,109.380,109.900,109.100,109.570,76877
23.04.2004 00:00:00.000,109.570,109.840,108.570,108.900,66471
24.04.2004 00:00:00.000,108.900,108.900,108.900,108.900,0
25.04.2004 00:00:00.000,108.950,109.320,108.890,109.280,3259
26.04.2004 00:00:00.000,109.270,109.340,108.260,108.640,56340
27.04.2004 00:00:00.000,108.650,109.870,108.350,109.550,65914
28.04.2004 00:00:00.000,109.550,110.270,108.750,110.160,74032
29.04.2004 00:00:00.000,110.130,111.050,109.500,109.940,66682
30.04.2004 00:00:00.000,109.940,110.640,109.920,110.520,47680
01.05.2004 00:00:00.000,110.520,110.520,110.520,110.520,0
02.05.2004 00:00:00.000,110.410,110.470,110.260,110.320,1793
03.05.2004 00:00:00.000,110.300,110.720,109.780,110.330,56908
04.05.2004 00:00:00.000,110.310,110.620,109.220,109.430,55730
05.05.2004 00:00:00.000,109.430,109.600,108.290,108.720,72877
06.05.2004 00:00:00.000,108.710,109.920,108.610,109.880,64494
07.05.2004 00:00:00.000,109.850,112.500,109.840,112.280,60734
08.05.2004 00:00:00.000,112.280,112.280,112.280,112.280,0
09.05.2004 00:00:00.000,112.310,112.960,112.110,112.940,4300
10.05.2004 00:00:00.000,112.930,114.160,112.400,113.580,89015
11.05.2004 00:00:00.000,113.600,113.870,112.860,113.000,70119
12.05.2004 00:00:00.000,112.980,113.500,112.400,112.860,65943
13.05.2004 00:00:00.000,112.860,114.700,112.820,114.590,75745
14.05.2004 00:00:00.000,114.590,114.900,113.950,114.280,50731
15.05.2004 00:00:00.000,114.280,114.280,114.280,114.280,0
16.05.2004 00:00:00.000,114.190,114.660,114.140,114.570,4343
17.05.2004 00:00:00.000,114.590,114.710,113.040,113.850,77642
18.05.2004 00:00:00.000,113.850,114.720,113.370,113.810,66969
19.05.2004 00:00:00.000,113.790,114.070,112.400,113.200,68724
20.05.2004 00:00:00.000,113.210,113.890,112.540,112.790,54006
21.05.2004 00:00:00.000,112.810,113.080,111.730,112.410,60265
22.05.2004 00:00:00.000,112.410,112.410,112.410,112.410,0
23.05.2004 00:00:00.000,112.330,112.500,112.020,112.340,3606
24.05.2004 00:00:00.000,112.370,113.300,112.070,113.090,59787
25.05.2004 00:00:00.000,113.080,113.340,111.620,111.820,51111
26.05.2004 00:00:00.000,111.840,112.050,111.200,111.930,44490
27.05.2004 00:00:00.000,111.910,112.140,110.650,110.910,48789
28.05.2004 00:00:00.000,110.930,111.040,110.010,110.180,52758
29.05.2004 00:00:00.000,110.180,110.180,110.180,110.180,0
30.05.2004 00:00:00.000,110.180,110.180,110.180,110.180,0
